"concentration","AUC","max_density","time_to_50pct_reduction","estimated_r","estimated_K","estimated_kmax","estimated_EC50","estimated_h"
0,40324716208.9309,999999999.999999,NA,0.9,1000000000,2,2.00396576717252,1.49709477476208
0.1,39166422538.4913,975289696.690557,NA,0.9,1000000000,2,2.00396576717252,1.49709477476208
0.5,28777100545.4396,752853265.165228,NA,0.9,1000000000,2,2.00396576717252,1.49709477476208
1,13446573575.2723,419952726.913249,NA,0.9,1000000000,2,2.00396576717252,1.49709477476208
2,10015618.6139563,1e+06,7,0.9,1000000000,2,2.00396576717252,1.49709477476208
5,1439791.66767887,1e+06,1,0.9,1000000000,2,2.00396576717252,1.49709477476208
10,1070189.72657688,1e+06,0.8,0.9,1000000000,2,2.00396576717252,1.49709477476208
20,963731.86333466,1e+06,0.7,0.9,1000000000,2,2.00396576717252,1.49709477476208
50,923088.971382379,1e+06,0.7,0.9,1000000000,2,2.00396576717252,1.49709477476208
