"concentration","AUC","max_density","time_to_50pct_reduction","estimated_r","estimated_K","estimated_kmax","estimated_EC50","estimated_h"
0,40324716208.9309,999999999.999999,NA,0.9,1000000000,2,1.99921170626014,1.49923307437895
1,35677876428.8552,999909296.596277,NA,0.9,1000000000,2,1.99921170626014,1.49923307437895
5,26140690049.6408,999144181.979218,1,0.9,1000000000,2,1.99921170626014,1.49923307437895
10,24012387473.0514,998669194.187984,0.8,0.9,1000000000,2,1.99921170626014,1.49923307437895
20,23098030510.1889,998392170.299563,0.7,0.9,1000000000,2,1.99921170626014,1.49923307437895
