"concentration","AUC","max_density","time_to_50pct_reduction","estimated_r","estimated_K","estimated_kmax","estimated_EC50","estimated_h"
0,40324716208.9309,999999999.999999,NA,0.9,1000000000,2,2.425213429115,1.17281746509247
1,13414471009.5315,419244805.023389,NA,0.9,1000000000,2,2.425213429115,1.17281746509247
5,1996516.42138293,1e+06,1.4,0.9,1000000000,2,2.425213429115,1.17281746509247
10,1280528.11158109,1e+06,0.9,0.9,1000000000,2,2.425213429115,1.17281746509247
20,1058867.97106387,1e+06,0.8,0.9,1000000000,2,2.425213429115,1.17281746509247
